,GalaxyId,Q6
0,100008,1
1,100023,1
2,100053,1
3,100078,1
4,100090,1
5,100122,1
6,100123,0
7,100128,1
8,100134,0
9,100143,1
10,100150,1
11,100157,1
12,100187,1
13,100204,1
14,100237,1
15,100259,1
16,100263,0
17,100288,1
18,100295,1
19,100322,1
20,100335,1
21,100367,1
22,100380,1
23,100382,1
24,100383,1
25,100402,1
26,100428,1
27,100434,1
28,100444,1
29,100445,1
30,100458,0
31,100474,1
32,100479,1
33,100506,1
34,100513,0
35,100520,0
36,100541,1
37,100561,0
38,100571,0
39,100601,1
40,100623,1
41,100672,1
42,100673,1
43,100724,1
44,100727,1
45,100730,1
46,100740,1
47,100744,1
48,100765,1
49,100774,1
50,100801,1
51,100813,1
52,100821,1
53,100822,1
54,100836,1
55,100852,1
56,100859,1
57,100861,1
58,100867,1
59,100887,1
60,100894,1
61,100938,1
62,100951,1
63,100986,1
64,101007,1
65,101061,1
66,101074,1
67,101092,1
68,101127,1
69,101133,0
70,101135,1
71,101140,1
72,101151,1
73,101164,1
74,101166,1
75,101181,1
76,101232,1
77,101239,1
78,101244,0
79,101246,1
80,101247,1
81,101251,1
82,101275,1
83,101283,1
84,101286,1
85,101290,1
86,101291,1
87,101296,1
88,101298,1
89,101306,1
90,101307,1
91,101315,1
92,101324,1
93,101325,0
94,101355,1
95,101358,1
96,101371,0
97,101374,1
98,101375,1
99,101427,1
100,101469,1
101,101493,1
102,101501,0
103,101502,0
104,101518,1
105,101538,1
106,101548,1
107,101549,1
108,101563,1
109,101564,1
110,101572,1
111,101589,0
112,101591,0
113,101595,1
114,101597,0
115,101599,1
116,101623,1
117,101627,1
118,101651,1
119,101654,0
120,101660,1
121,101666,0
122,101685,1
123,101695,1
124,101701,1
125,101718,1
126,101754,1
127,101756,0
128,101762,1
129,101774,1
130,101787,1
131,101788,1
132,101798,0
133,101804,1
134,101807,1
135,101816,1
136,101848,1
137,101854,1
138,101858,1
139,101875,1
140,101893,1
141,101941,1
142,101943,1
143,101955,1
144,101971,1
145,101980,0
146,101991,1
147,101995,1
148,101997,1
149,102000,0
150,102015,1
151,102021,1
152,102027,1
153,102040,1
154,102046,0
155,102047,1
156,102113,1
157,102115,1
158,102159,1
159,102174,1
160,102176,1
161,102182,1
162,102243,0
163,102260,1
164,102271,1
165,102295,1
166,102328,1
167,102347,0
168,102371,1
169,102391,1
170,102402,1
171,102406,1
172,102407,1
173,102422,1
174,102433,1
175,102471,1
176,102474,0
177,102481,1
178,102513,1
179,102556,1
180,102595,0
181,102602,1
182,102616,1
183,102642,1
184,102649,1
185,102657,1
186,102699,0
187,102701,1
188,102729,1
189,102731,1
190,102735,1
191,102742,1
192,102743,1
193,102765,1
194,102770,1
195,102799,1
196,102804,1
197,102808,1
198,102812,1
199,102822,0
200,102834,1
201,102839,1
202,102843,1
203,102863,1
204,102871,1
205,102874,1
206,102919,0
207,102928,1
208,102933,1
209,102964,1
210,102974,1
211,102977,1
212,102982,1
213,102990,1
214,102998,0
215,103019,1
216,103037,1
217,103040,1
218,103072,1
219,103075,1
220,103132,1
221,103159,1
222,103167,1
223,103191,1
224,103224,1
225,103233,1
226,103246,1
227,103255,1
228,103260,1
229,103318,1
230,103323,1
231,103348,1
232,103353,1
233,103354,1
234,103356,1
235,103373,1
236,103386,1
237,103393,1
238,103444,1
239,103445,1
240,103491,0
241,103500,1
242,103503,1
243,103520,1
244,103523,0
245,103533,1
246,103547,1
247,103561,1
248,103577,1
249,103592,1
250,103610,1
251,103626,1
252,103645,1
253,103646,1
254,103707,0
255,103718,1
256,103731,1
257,103750,1
258,103751,1
259,103754,0
260,103758,1
261,103769,1
262,103787,1
263,103818,1
264,103819,1
265,103824,1
266,103882,1
267,103900,1
268,103902,1
269,103904,1
270,103907,1
271,103950,1
272,103955,1
273,103974,0
274,103979,1
275,103999,1
276,104001,0
277,104008,1
278,104020,1
279,104040,1
280,104041,1
281,104096,1
282,104110,1
283,104131,1
284,104141,1
285,104143,1
286,104159,1
287,104173,1
288,104196,1
289,104212,1
290,104216,1
291,104222,1
292,104234,1
293,104243,1
294,104253,1
295,104267,1
296,104268,1
297,104279,0
298,104281,1
299,104287,1
300,104310,1
301,104314,1
302,104317,1
303,104354,1
304,104365,0
305,104387,1
306,104389,1
307,104398,1
308,104414,0
309,104420,1
310,104422,1
311,104440,1
312,104460,1
313,104478,1
314,104516,1
315,104536,1
316,104540,1
317,104589,1
318,104602,1
319,104608,1
320,104610,1
321,104611,1
322,104612,1
323,104624,1
324,104703,1
325,104709,1
326,104721,1
327,104723,1
328,104751,1
329,104764,1
330,104769,1
331,104784,1
332,104788,1
333,104819,1
334,104830,1
335,104920,1
336,104929,1
337,104934,1
338,104962,1
339,104977,0
340,104988,1
341,104991,1
342,105009,1
343,105014,0
344,105020,1
345,105028,0
346,105056,1
347,105069,1
348,105070,1
349,105082,1
350,105088,1
351,105092,1
352,105117,1
353,105165,1
354,105201,1
355,105216,1
356,105218,1
357,105221,1
358,105257,1
359,105258,1
360,105279,1
361,105314,1
362,105331,1
363,105334,1
364,105354,1
365,105364,1
366,105365,1
367,105381,1
368,105417,1
369,105447,1
370,105459,1
371,105497,1
372,105500,1
373,105507,1
374,105513,1
375,105529,1
376,105539,1
377,105541,1
378,105572,1
379,105576,1
380,105581,1
381,105613,1
382,105631,1
383,105648,1
384,105653,1
385,105700,1
386,105743,1
387,105755,1
388,105757,1
389,105758,1
390,105762,1
391,105764,1
392,105772,1
393,105774,0
394,105787,1
395,105797,1
396,105846,1
397,105868,0
398,105870,1
399,105879,1
400,105881,1
401,105900,0
402,105902,1
403,105925,1
404,105940,1
405,105973,1
406,105983,1
407,105984,1
408,105986,1
409,105991,1
410,106000,1
411,106018,1
412,106028,1
413,106039,1
414,106040,1
415,106044,1
416,106049,0
417,106059,1
418,106079,0
419,106105,1
420,106124,1
421,106147,1
422,106165,1
423,106170,1
424,106176,1
425,106199,1
426,106205,1
427,106206,0
428,106230,0
429,106263,0
430,106275,1
431,106298,1
432,106355,1
433,106357,0
434,106388,1
435,106390,1
436,106409,1
437,106429,1
438,106432,1
439,106463,1
440,106471,0
441,106499,1
442,106514,1
443,106544,1
444,106612,1
445,106621,1
446,106646,1
447,106652,1
448,106664,1
449,106670,1
450,106689,1
451,106694,1
452,106705,1
453,106725,0
454,106739,1
455,106749,1
456,106773,1
457,106777,1
458,106781,1
459,106784,1
460,106788,1
461,106800,1
462,106803,1
463,106812,1
464,106819,1
465,106829,1
466,106841,1
467,106882,1
468,106885,1
469,106886,1
470,106896,1
471,106919,1
472,106923,1
473,106931,1
474,106944,1
475,106973,1
476,106986,1
477,107012,1
478,107019,1
479,107055,1
480,107064,1
481,107084,1
482,107106,1
483,107117,1
484,107143,1
485,107159,1
486,107193,0
487,107197,1
488,107202,1
489,107229,1
490,107231,1
491,107261,1
492,107268,1
493,107272,0
494,107290,1
495,107298,1
496,107314,1
497,107355,1
498,107374,1
499,107379,1
500,107383,0
501,107388,1
502,107394,1
503,107403,1
504,107406,1
505,107415,0
506,107422,1
507,107434,0
508,107435,1
509,107454,1
510,107461,1
511,107466,1
512,107480,1
513,107496,0
514,107510,1
515,107517,1
516,107521,1
517,107524,1
518,107527,1
519,107539,1
520,107553,1
521,107555,1
522,107559,1
523,107560,1
524,107562,1
525,107563,1
526,107573,1
527,107576,1
528,107583,1
529,107593,1
530,107597,1
531,107606,1
532,107608,1
533,107610,1
534,107613,1
535,107616,1
536,107619,1
537,107627,0
538,107629,0
539,107631,1
540,107660,1
541,107688,1
542,107692,1
543,107709,0
544,107720,1
545,107736,1
546,107745,1
547,107747,1
548,107794,1
549,107810,1
550,107823,1
551,107828,1
552,107831,1
553,107849,1
554,107859,0
555,107888,1
556,107943,1
557,107946,1
558,107951,1
559,107954,1
560,107961,1
561,107966,1
562,107967,1
563,107972,1
564,107975,1
565,107985,0
566,107987,1
567,108012,1
568,108017,1
569,108038,0
570,108041,1
571,108051,1
572,108066,1
573,108088,1
574,108103,0
575,108105,1
576,108111,1
577,108146,1
578,108160,1
579,108182,1
580,108195,1
581,108207,1
582,108225,1
583,108251,1
584,108272,1
585,108305,1
586,108326,1
587,108481,1
588,108497,1
589,108507,1
590,108545,1
591,108551,1
592,108574,1
593,108580,1
594,108584,1
595,108601,1
596,108608,1
597,108624,1
598,108642,1
599,108645,1
600,108649,1
601,108661,1
602,108672,1
603,108692,0
604,108715,0
605,108717,1
606,108742,0
607,108757,1
608,108764,0
609,108772,1
610,108779,1
611,108786,0
612,108914,1
613,108917,1
614,108920,1
615,108928,1
616,108929,1
617,108947,1
618,108952,1
619,108959,1
620,108961,1
621,108979,1
622,108985,1
623,108988,1
624,108991,1
625,108994,0
626,109011,1
627,109033,1
628,109074,1
629,109083,1
630,109096,1
631,109098,1
632,109112,1
633,109124,1
634,109127,1
635,109132,0
636,109135,1
637,109155,1
638,109180,1
639,109215,1
640,109255,1
641,109266,1
642,109282,0
643,109292,1
644,109330,1
645,109333,1
646,109360,1
647,109361,1
648,109366,1
649,109380,1
650,109402,1
651,109404,1
652,109414,1
653,109422,1
654,109449,1
655,109509,0
656,109529,1
657,109568,1
658,109595,1
659,109623,1
660,109629,1
661,109630,1
662,109682,1
663,109688,1
664,109699,1
665,109715,1
666,109718,1
667,109727,1
668,109740,1
669,109744,0
670,109750,1
671,109772,1
672,109780,0
673,109827,1
674,109868,1
675,109879,0
676,109885,1
677,109888,1
678,109946,0
679,109977,1
680,110034,1
681,110063,1
682,110074,1
683,110076,1
684,110109,1
685,110118,1
686,110121,1
687,110129,1
